AccountID,CreditScore,AnnualIncome,LoanAmount,LoanPurpose,EmploymentYears,EmploymentType,DebtToIncomeRatio,NumOpenAccounts,NumDelinquencies,MonthsSinceLastDelinquency,HomeOwnership,LoanTermMonths,IsDefault
ACC0291,824,81935.15,87648.83,Other,17,Contract,0.287,6,1,84,Rent,84,0
ACC0292,689,74440.7,95521.33,Other,24,Self-employed,0.139,13,0,999,Other,36,0
ACC0293,404,105852.16,10978.85,Personal,5,Part-time,0.592,13,2,101,Own,60,1
ACC0294,301,192778.48,95283.15,Business,25,Full-time,0.137,12,0,999,Mortgage,60,0
ACC0295,658,193692.48,92137.41,Business,12,Contract,0.698,1,0,999,Own,36,1
ACC0296,782,120430.17,96929.36,Debt Consolidation,31,Contract,0.462,8,2,107,Rent,36,1
ACC0297,610,78192.7,24198.06,Medical,25,Part-time,0.112,5,0,999,Mortgage,36,1
ACC0298,809,77413.77,74052.44,Business,12,Self-employed,0.675,12,0,999,Other,36,0
ACC0299,530,87899.06,17274.01,Business,26,Part-time,0.503,13,1,25,Rent,36,1
ACC0300,540,103880.1,66263.97,Business,21,Self-employed,0.369,9,1,12,Mortgage,12,1
ACC0301,516,239170.0,87403.7,Education,10,Full-time,0.633,10,0,999,Mortgage,24,1
ACC0302,675,202130.19,26608.06,Other,11,Self-employed,0.344,9,0,999,Other,24,1
ACC0303,581,72264.52,95290.7,Personal,8,Part-time,0.701,1,0,999,Rent,24,1
ACC0304,372,167953.0,56587.99,Personal,27,Full-time,0.366,8,1,92,Own,84,0
ACC0305,568,219521.3,10581.26,Business,8,Part-time,0.12,14,2,0,Mortgage,24,1
ACC0306,837,91337.18,69849.67,Auto,4,Part-time,0.74,12,0,999,Mortgage,36,1
ACC0307,648,94975.94,83740.09,Personal,19,Part-time,0.063,3,1,25,Mortgage,12,0
ACC0308,658,96894.19,36710.97,Education,2,Part-time,0.163,15,1,33,Own,12,0
ACC0309,431,80451.9,2540.0,Auto,32,Self-employed,0.703,9,1,106,Rent,60,1
ACC0310,366,169411.52,98613.36,Other,18,Retired,0.455,8,0,999,Mortgage,36,0
ACC0311,634,112777.49,80429.36,Home Improvement,26,Retired,0.278,13,2,119,Own,84,1
ACC0312,461,186379.19,29619.61,Personal,7,Part-time,0.283,4,1,46,Other,84,1
ACC0313,644,201367.55,54567.67,Business,5,Self-employed,0.52,1,0,999,Rent,60,0
ACC0314,709,121918.0,94166.64,Other,10,Retired,0.733,10,0,999,Rent,60,0
ACC0315,494,209222.02,21283.53,Other,32,Self-employed,0.594,13,0,999,Own,48,0
ACC0316,755,32718.01,58814.47,Education,15,Full-time,0.722,8,2,70,Rent,24,1
ACC0317,388,94150.98,96569.55,Medical,9,Part-time,0.103,13,0,999,Mortgage,12,1
ACC0318,722,182046.36,8871.52,Medical,7,Contract,0.407,1,0,999,Other,24,0
ACC0319,681,209747.98,73158.23,Auto,9,Retired,0.352,6,1,33,Other,36,0
ACC0320,595,21310.17,35744.47,Education,17,Retired,0.193,9,0,999,Mortgage,36,0
ACC0321,413,114202.7,64849.8,Home Improvement,20,Self-employed,0.436,2,3,117,Rent,12,1
ACC0322,596,239206.81,35650.56,Business,0,Contract,0.264,13,1,55,Other,36,0
ACC0323,405,188112.77,2702.75,Personal,8,Contract,0.477,5,0,999,Rent,24,1
ACC0324,688,109210.12,93408.66,Business,27,Full-time,0.362,9,2,93,Own,24,1
ACC0325,589,101546.21,55375.96,Other,35,Part-time,0.684,15,2,105,Rent,36,1
ACC0326,527,174407.09,33682.57,Auto,1,Full-time,0.619,5,1,119,Mortgage,36,1
ACC0327,800,48763.49,45523.95,Education,10,Full-time,0.132,5,1,44,Rent,24,0
ACC0328,469,41173.5,16494.45,Other,17,Self-employed,0.177,14,2,9,Rent,36,0
ACC0329,761,186278.43,58926.36,Personal,3,Self-employed,0.193,12,3,4,Rent,84,0
ACC0330,484,22943.72,37973.33,Business,9,Retired,0.721,11,0,999,Rent,36,0
ACC0331,484,64119.33,61064.22,Debt Consolidation,1,Retired,0.389,3,0,999,Rent,24,0
ACC0332,833,46369.87,91906.53,Debt Consolidation,21,Contract,0.233,2,1,67,Other,48,1
ACC0333,569,44154.88,61999.98,Education,20,Part-time,0.15,15,0,999,Mortgage,12,0
ACC0334,672,236485.03,54247.03,Home Improvement,32,Full-time,0.702,4,1,26,Mortgage,12,1
ACC0335,738,62201.13,49075.23,Debt Consolidation,5,Contract,0.428,4,3,36,Other,24,1
ACC0336,512,220375.17,77194.59,Auto,1,Full-time,0.181,13,0,999,Mortgage,60,1
ACC0337,304,91507.23,81285.95,Personal,8,Retired,0.685,12,0,999,Rent,36,1
ACC0338,474,110560.93,89230.16,Home Improvement,33,Retired,0.686,10,2,33,Other,36,1
ACC0339,696,103476.85,72632.69,Other,16,Self-employed,0.185,11,0,999,Mortgage,84,0
ACC0340,510,53174.78,24814.86,Personal,23,Part-time,0.054,8,3,13,Rent,60,1
ACC0341,778,99190.86,90709.0,Personal,28,Contract,0.446,9,0,999,Mortgage,36,0
ACC0342,483,62082.63,65719.3,Personal,33,Part-time,0.148,14,2,21,Rent,12,1
ACC0343,544,97745.11,77139.66,Medical,22,Contract,0.169,6,0,999,Own,24,1
ACC0344,736,40528.67,4621.68,Auto,18,Part-time,0.326,11,1,29,Own,60,0
ACC0345,377,147592.81,52808.86,Education,4,Self-employed,0.428,7,0,999,Mortgage,12,1
ACC0346,657,237141.86,10862.7,Business,31,Self-employed,0.329,8,1,106,Rent,84,0
ACC0347,707,20310.27,99275.85,Other,6,Contract,0.27,6,0,999,Other,24,0
ACC0348,388,98199.25,33537.22,Business,18,Full-time,0.652,7,0,999,Other,36,0
ACC0349,729,52499.96,46501.91,Personal,8,Part-time,0.678,6,3,111,Other,24,0
ACC0350,321,249992.56,76446.06,Business,20,Retired,0.738,9,0,999,Mortgage,48,1
ACC0351,403,167304.96,31517.87,Other,6,Retired,0.699,2,0,999,Mortgage,48,1
ACC0352,744,241367.81,36252.03,Education,17,Part-time,0.278,6,3,42,Rent,60,1
ACC0353,304,168673.16,28382.61,Business,5,Contract,0.56,3,0,999,Rent,48,1
ACC0354,827,224768.29,91887.36,Education,3,Part-time,0.283,1,1,45,Mortgage,84,0
ACC0355,424,90256.02,13812.13,Auto,21,Full-time,0.673,11,1,84,Own,12,1
ACC0356,579,59590.22,55549.73,Education,29,Contract,0.38,6,0,999,Rent,48,0
ACC0357,743,195620.38,9266.1,Personal,23,Full-time,0.078,15,0,999,Other,84,0
ACC0358,460,85506.07,30954.9,Business,5,Part-time,0.395,6,1,37,Other,84,0
ACC0359,558,112326.56,70686.33,Debt Consolidation,28,Self-employed,0.496,7,3,70,Own,84,0
ACC0360,538,234059.65,86286.84,Personal,16,Full-time,0.46,13,0,999,Own,12,0
ACC0361,815,94450.89,38446.6,Personal,18,Part-time,0.655,4,3,103,Own,48,0
ACC0362,429,244917.28,59086.51,Medical,15,Part-time,0.157,15,0,999,Mortgage,60,1
ACC0363,645,72214.44,15359.92,Home Improvement,27,Self-employed,0.696,14,0,999,Mortgage,48,1
ACC0364,808,102569.74,63678.17,Home Improvement,20,Contract,0.525,8,0,999,Rent,84,1
ACC0365,757,204588.23,60883.08,Home Improvement,33,Retired,0.711,1,1,65,Rent,12,1
ACC0366,447,169134.51,85748.76,Auto,27,Retired,0.544,10,0,999,Mortgage,48,0
ACC0367,433,224858.92,42618.8,Medical,9,Part-time,0.695,13,0,999,Rent,36,0
ACC0368,786,248347.76,10461.74,Debt Consolidation,2,Part-time,0.676,3,0,999,Other,24,0
ACC0369,631,137125.22,35674.8,Home Improvement,31,Contract,0.229,1,1,119,Own,60,0
ACC0370,492,70698.18,5531.64,Business,6,Part-time,0.743,1,0,999,Mortgage,60,1
ACC0371,672,123675.63,30749.67,Other,29,Self-employed,0.217,11,3,37,Mortgage,84,1
ACC0372,802,44261.59,51825.63,Education,19,Part-time,0.643,6,0,999,Own,24,1
ACC0373,413,179118.61,52752.6,Business,15,Retired,0.385,11,0,999,Rent,48,0
ACC0374,692,81403.84,87140.08,Medical,20,Full-time,0.295,13,0,999,Other,12,0
ACC0375,392,138071.68,33528.87,Auto,0,Contract,0.327,5,1,29,Other,24,1
ACC0376,827,148022.38,10163.22,Debt Consolidation,0,Full-time,0.573,1,2,67,Mortgage,12,1
ACC0377,610,179193.99,70312.1,Other,21,Part-time,0.667,13,0,999,Own,36,1
ACC0378,694,231885.07,26868.04,Other,14,Retired,0.094,6,1,40,Other,84,0
ACC0379,462,167012.81,19017.22,Education,28,Contract,0.459,3,1,102,Rent,36,0
ACC0380,762,47479.72,78805.26,Auto,14,Retired,0.679,8,0,999,Other,24,0
ACC0381,339,144694.78,27311.72,Medical,14,Full-time,0.291,8,0,999,Mortgage,60,0
ACC0382,565,48903.64,84471.6,Business,26,Self-employed,0.208,5,0,999,Own,36,1
ACC0383,771,247180.12,68002.21,Personal,8,Contract,0.508,1,0,999,Own,36,0
ACC0384,849,166854.85,59188.33,Home Improvement,12,Full-time,0.626,11,1,79,Rent,48,0
ACC0385,686,41433.78,21547.55,Debt Consolidation,1,Self-employed,0.272,9,0,999,Mortgage,12,0
ACC0386,324,188252.58,77171.65,Home Improvement,21,Self-employed,0.675,14,3,95,Other,24,1
ACC0387,784,30632.41,68179.53,Auto,4,Part-time,0.252,13,0,999,Mortgage,12,0
ACC0388,412,38490.8,88064.55,Other,16,Part-time,0.31,10,0,999,Other,24,0
ACC0389,754,173240.8,67177.9,Auto,23,Full-time,0.061,2,0,999,Rent,48,0
ACC0390,739,30106.41,61494.59,Auto,10,Part-time,0.64,8,0,999,Other,36,0
ACC0391,592,105487.03,22793.25,Medical,13,Self-employed,0.601,4,0,999,Mortgage,36,0
ACC0392,395,32943.55,98599.31,Home Improvement,17,Self-employed,0.358,3,2,15,Own,48,0
ACC0393,612,83197.05,97026.19,Personal,15,Retired,0.742,4,0,999,Rent,84,0
ACC0394,566,116156.43,81819.68,Business,10,Self-employed,0.645,9,0,999,Rent,24,1
ACC0395,673,134119.14,67664.33,Medical,3,Part-time,0.29,12,3,81,Mortgage,24,0
ACC0396,459,228644.97,68015.59,Business,33,Self-employed,0.484,15,2,52,Mortgage,36,1
ACC0397,724,21734.61,46374.53,Education,21,Part-time,0.491,14,3,50,Rent,84,0
ACC0398,529,76742.86,76272.13,Home Improvement,17,Contract,0.42,10,3,107,Rent,84,1
ACC0399,625,186742.93,90379.93,Auto,0,Contract,0.219,5,2,76,Other,24,1
ACC0400,725,224610.21,70269.26,Personal,8,Contract,0.35,8,0,999,Own,12,0
ACC0401,701,161580.87,68102.21,Medical,14,Part-time,0.23,8,1,4,Own,12,0
ACC0402,302,216001.45,46218.19,Medical,31,Part-time,0.399,10,3,10,Mortgage,84,1
ACC0403,748,53050.38,21671.39,Medical,0,Self-employed,0.422,7,1,13,Own,60,0
ACC0404,653,166632.89,14796.88,Home Improvement,9,Contract,0.626,4,3,55,Other,48,1
ACC0405,411,130128.39,62210.31,Other,29,Contract,0.406,7,0,999,Own,48,0
ACC0406,402,92500.73,21639.01,Other,14,Self-employed,0.11,10,0,999,Rent,48,1
ACC0407,356,208852.55,11362.62,Personal,6,Self-employed,0.517,13,0,999,Other,36,1
ACC0408,684,245177.65,36730.74,Other,5,Self-employed,0.104,9,1,92,Own,48,0
ACC0409,384,77678.74,46395.24,Personal,31,Contract,0.448,8,0,999,Own,48,0
ACC0410,653,36071.45,27792.4,Auto,13,Full-time,0.213,6,3,24,Other,48,0
ACC0411,670,158297.77,41799.89,Auto,30,Part-time,0.726,11,0,999,Mortgage,36,1
ACC0412,832,185736.01,28481.85,Debt Consolidation,24,Part-time,0.173,11,1,5,Other,24,0
ACC0413,741,174330.15,69935.27,Auto,30,Full-time,0.466,14,0,999,Own,36,0
ACC0414,368,162460.18,39555.84,Education,16,Full-time,0.246,2,0,999,Other,36,1
ACC0415,809,184936.11,36062.53,Personal,23,Self-employed,0.525,1,2,29,Other,84,1
ACC0416,786,67180.36,44329.1,Education,12,Full-time,0.717,4,0,999,Rent,24,0
ACC0417,485,177530.89,83865.88,Business,15,Contract,0.562,10,0,999,Own,84,0
ACC0418,762,40564.6,86484.45,Other,14,Full-time,0.128,5,1,24,Own,24,0
ACC0419,838,77082.56,41190.47,Personal,9,Retired,0.678,4,0,999,Mortgage,84,0
ACC0420,824,155944.98,8669.3,Auto,32,Self-employed,0.286,6,0,999,Rent,24,0
ACC0421,409,31255.75,26041.44,Auto,35,Full-time,0.101,10,1,40,Other,60,0
ACC0422,490,92609.11,6250.58,Education,15,Retired,0.521,15,0,999,Own,84,1
ACC0423,380,67824.58,8830.7,Auto,21,Self-employed,0.374,4,0,999,Mortgage,60,0
ACC0424,521,32753.86,58371.75,Home Improvement,4,Contract,0.209,7,1,74,Other,36,0
ACC0425,739,118226.71,61264.16,Medical,34,Retired,0.172,14,1,34,Other,48,0
ACC0426,610,69268.61,58467.76,Debt Consolidation,0,Retired,0.352,11,0,999,Rent,24,0
ACC0427,413,106955.54,96086.83,Personal,20,Self-employed,0.129,9,1,101,Rent,12,0
ACC0428,349,123412.1,94351.62,Education,29,Part-time,0.67,7,0,999,Rent,48,1
ACC0429,684,237706.16,37121.06,Other,0,Full-time,0.601,9,3,97,Own,48,0
ACC0430,838,83691.47,98422.18,Debt Consolidation,17,Part-time,0.304,12,0,999,Other,12,0
ACC0431,544,87314.7,13642.68,Home Improvement,20,Contract,0.095,11,3,36,Mortgage,48,1
ACC0432,702,148909.43,83186.32,Medical,3,Contract,0.354,3,0,999,Rent,24,0
ACC0433,763,153011.89,44490.13,Medical,0,Self-employed,0.338,2,0,999,Own,48,0
ACC0434,716,103581.97,22287.86,Other,25,Contract,0.646,6,0,999,Mortgage,24,0
ACC0435,602,208355.34,85715.27,Personal,20,Self-employed,0.711,7,1,96,Rent,24,0
ACC0436,716,212845.68,68644.84,Education,5,Self-employed,0.06,3,2,31,Other,12,0
ACC0437,310,147704.55,41683.68,Personal,20,Contract,0.483,5,0,999,Other,36,1
ACC0438,650,139511.36,51969.06,Other,27,Part-time,0.298,3,0,999,Other,24,0
ACC0439,537,92651.17,98078.75,Debt Consolidation,34,Full-time,0.316,3,3,97,Other,12,1
ACC0440,439,139993.82,98759.9,Education,33,Self-employed,0.44,8,0,999,Rent,12,1
ACC0441,359,195643.92,62442.53,Education,21,Self-employed,0.311,5,0,999,Rent,36,1
ACC0442,513,179889.36,68845.87,Auto,33,Full-time,0.464,5,0,999,Mortgage,36,0
ACC0443,791,104465.87,56436.11,Other,31,Retired,0.057,11,0,999,Mortgage,60,0
ACC0444,369,141749.28,57208.19,Personal,6,Retired,0.143,7,2,60,Rent,60,1
ACC0445,805,204573.31,73561.07,Auto,17,Retired,0.288,14,0,999,Own,12,0
ACC0446,547,104830.61,34737.33,Education,13,Contract,0.583,2,1,21,Other,84,0
ACC0447,576,152523.61,58790.59,Home Improvement,19,Part-time,0.565,7,0,999,Rent,12,1
ACC0448,415,239597.21,7852.59,Home Improvement,14,Full-time,0.684,6,0,999,Other,12,1
ACC0449,529,178316.82,22032.41,Personal,27,Part-time,0.744,5,0,999,Rent,36,1
ACC0450,784,116548.78,91479.61,Debt Consolidation,23,Full-time,0.092,8,0,999,Mortgage,36,0
ACC0451,797,245580.56,69065.14,Business,5,Retired,0.684,11,0,999,Own,48,0
ACC0452,604,178024.52,54726.67,Business,12,Part-time,0.311,13,0,999,Other,24,0
ACC0453,375,116993.03,76273.01,Personal,34,Contract,0.455,12,0,999,Rent,12,0
ACC0454,772,238511.81,7547.52,Medical,25,Contract,0.122,5,1,0,Own,60,0
ACC0455,512,230467.22,6961.18,Education,5,Contract,0.453,2,1,59,Mortgage,84,1
ACC0456,557,174770.37,61425.04,Education,23,Part-time,0.679,13,1,67,Other,24,0
ACC0457,846,40490.56,48379.0,Personal,9,Full-time,0.494,5,1,46,Rent,12,0
ACC0458,804,202867.0,24509.69,Business,3,Part-time,0.699,12,0,999,Mortgage,84,1
ACC0459,489,225048.94,31395.59,Other,5,Contract,0.292,5,3,72,Own,36,1
ACC0460,486,146948.62,74337.82,Home Improvement,0,Part-time,0.17,6,0,999,Rent,60,1
ACC0461,511,232952.41,68856.17,Medical,35,Part-time,0.167,14,1,51,Rent,36,1
ACC0462,798,214925.37,34664.8,Medical,33,Contract,0.467,7,1,84,Mortgage,48,0
ACC0463,312,127630.17,33720.16,Education,33,Retired,0.193,12,1,115,Other,84,1
ACC0464,403,107065.75,99721.7,Personal,9,Retired,0.189,13,0,999,Rent,12,1
ACC0465,673,82626.83,88323.32,Auto,23,Full-time,0.511,2,0,999,Other,60,0
ACC0466,823,23390.34,71823.06,Business,4,Retired,0.413,6,3,67,Mortgage,84,0
ACC0467,752,100776.29,44370.38,Home Improvement,30,Full-time,0.349,2,1,11,Other,84,0
ACC0468,831,207741.82,84235.89,Medical,33,Contract,0.344,15,1,80,Own,24,0
ACC0469,341,38007.42,5388.43,Education,7,Self-employed,0.711,12,0,999,Other,48,0
ACC0470,472,107627.42,61334.37,Other,29,Contract,0.101,13,2,42,Other,60,1
ACC0471,393,90033.76,72640.69,Business,19,Full-time,0.633,11,1,32,Rent,24,0
ACC0472,373,101358.69,29195.72,Home Improvement,1,Retired,0.111,1,0,999,Mortgage,84,1
ACC0473,496,89826.78,17850.28,Auto,13,Retired,0.705,11,1,112,Rent,24,1
ACC0474,417,169991.66,47124.92,Business,18,Full-time,0.113,10,0,999,Own,24,1
ACC0475,471,145635.07,14958.06,Home Improvement,34,Self-employed,0.608,13,0,999,Rent,24,0
ACC0476,583,67965.17,76114.33,Personal,5,Retired,0.21,10,0,999,Rent,12,1
ACC0477,553,95089.77,73018.23,Debt Consolidation,15,Part-time,0.273,11,3,118,Mortgage,48,1
ACC0478,455,52768.92,32410.76,Home Improvement,9,Part-time,0.169,1,0,999,Mortgage,12,0
ACC0479,448,216521.88,5474.32,Personal,31,Part-time,0.3,1,2,72,Other,36,0
ACC0480,539,134828.77,54793.49,Medical,6,Retired,0.635,14,0,999,Rent,60,0
ACC0481,408,155328.12,20404.39,Medical,0,Contract,0.726,10,3,63,Own,12,1
ACC0482,514,89203.73,47082.99,Personal,14,Self-employed,0.135,5,0,999,Own,12,0
ACC0483,835,144534.4,75915.82,Home Improvement,23,Contract,0.735,5,1,120,Mortgage,12,0
ACC0484,390,153423.18,64551.17,Other,2,Full-time,0.331,1,0,999,Other,36,0
ACC0485,621,110530.66,79369.54,Home Improvement,7,Full-time,0.234,11,0,999,Rent,48,0
ACC0486,763,84648.11,89658.24,Education,15,Part-time,0.616,15,2,89,Rent,36,0
ACC0487,625,168303.51,96209.09,Other,7,Contract,0.45,11,1,52,Rent,48,0
ACC0488,836,120992.21,76045.15,Home Improvement,33,Retired,0.086,5,3,68,Own,24,0
ACC0489,651,218538.23,9090.62,Medical,2,Self-employed,0.323,6,0,999,Mortgage,12,0
ACC0490,743,104843.4,18590.08,Debt Consolidation,29,Full-time,0.215,9,1,115,Own,48,0
ACC0491,534,190456.54,48771.93,Business,14,Part-time,0.597,8,0,999,Other,60,1
ACC0492,418,104548.07,42208.76,Business,11,Contract,0.308,4,0,999,Mortgage,36,0
ACC0493,779,46398.84,3725.55,Auto,3,Retired,0.092,2,0,999,Other,24,0
ACC0494,459,111203.23,22173.41,Personal,6,Self-employed,0.526,11,0,999,Mortgage,36,1
ACC0495,474,143558.54,17785.98,Other,25,Part-time,0.639,4,0,999,Rent,12,1
ACC0496,829,25305.24,3101.23,Medical,33,Full-time,0.316,2,3,12,Own,36,1
ACC0497,669,154280.33,81644.66,Business,13,Part-time,0.67,2,1,1,Mortgage,24,0
ACC0498,545,170036.92,49556.6,Home Improvement,13,Part-time,0.585,13,3,16,Own,48,1
ACC0499,559,217724.8,92107.13,Other,4,Part-time,0.117,12,0,999,Mortgage,60,0
ACC0500,555,244696.99,70263.32,Home Improvement,6,Full-time,0.085,8,0,999,Own,84,0
